;victim;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;SURBs;total
2100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3300;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
3400;0;0;0;1;0;0;0;0;1;0;1;1;0;1;2;0;0;0;0;0;1;0;0;0;2;0;0;0;1;1;0;2;1;0;1;1;1;3;0;1;1;0;0;0;3;0;2;1;2;1;0;2;2;1;2;0;0;1;1;0;1;1;1;0;0;0;0;2;1;1;1;0;1;0;0;0;1;0;0;0;0;0;2;1;0;1;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;1;1;0;1;1;1;0;1;0;1;1;1;1;1;1;0;0;1;1;0;0;0;0;2;1;0;0;0;0;0;2;0;3;1;0;1;1;0;2;0;0;0;0;0;0;1;0;1;1;0;1;1;2;0;0;2;1;0;0;0;1;0;0;97
3500;1;4;2;3;2;3;4;4;3;3;2;1;2;3;0;2;5;3;1;2;3;2;2;6;5;2;2;3;2;2;4;5;1;3;1;2;4;3;0;5;4;2;0;1;3;2;3;3;4;3;2;4;1;3;3;1;0;1;2;4;1;2;3;4;2;2;6;3;1;1;0;0;3;6;1;0;2;1;0;1;3;3;2;3;2;0;3;0;0;0;1;1;3;3;7;1;3;2;3;3;1;1;4;3;4;2;1;1;3;3;4;0;5;2;5;0;1;1;0;1;2;3;4;1;4;1;6;3;6;2;1;4;4;2;2;2;1;0;2;1;0;3;2;6;0;2;3;1;2;2;1;2;1;1;6;2;2;4;1;0;3;2;3;3;2;4;0;386
3600;8;5;0;8;2;3;4;10;8;10;5;4;8;3;5;6;5;5;8;9;8;9;5;2;3;8;3;5;4;4;7;5;5;10;3;0;6;6;7;12;10;5;5;12;7;8;6;1;5;6;10;5;7;8;8;9;5;4;4;4;4;3;2;8;5;4;6;5;7;3;7;4;6;10;7;7;1;6;5;4;4;3;5;4;4;3;4;10;4;5;3;9;1;5;6;4;8;2;4;9;7;7;8;4;2;4;6;8;5;5;4;5;3;5;11;6;6;9;3;5;8;5;8;7;6;5;10;6;7;4;3;7;6;7;5;5;9;5;1;3;4;6;2;6;4;2;6;7;6;6;2;6;7;6;6;5;1;8;3;6;5;3;8;6;7;7;0;923
3700;11;6;11;12;9;7;13;11;3;6;17;19;11;17;18;15;9;17;11;10;16;13;10;10;11;9;18;13;14;9;13;9;15;11;10;14;17;9;15;18;9;13;12;11;8;8;6;7;15;10;10;10;15;9;14;10;5;10;16;13;16;13;20;15;8;15;13;10;4;8;15;7;14;11;10;14;18;10;8;10;13;7;7;8;16;14;9;12;15;15;10;13;10;13;13;11;16;11;16;10;6;12;9;8;9;15;11;10;16;8;5;11;8;11;12;7;4;10;8;14;7;13;18;9;10;6;13;8;9;12;13;10;15;9;6;11;15;12;7;10;11;10;16;10;15;8;16;9;9;10;13;19;11;8;12;10;5;12;10;16;10;13;10;11;14;9;0;1880
3800;17;29;18;15;18;13;18;17;13;24;21;12;17;20;21;25;23;15;24;25;18;20;10;18;14;17;15;16;17;16;24;21;15;15;8;22;20;16;15;17;15;18;16;25;20;15;32;13;13;17;20;18;20;19;14;20;22;24;26;24;14;13;17;14;15;16;21;20;21;22;25;21;21;14;23;21;22;12;21;17;18;22;20;14;23;11;18;12;22;13;25;21;13;11;26;16;17;14;13;9;18;15;12;25;12;24;20;18;16;16;20;18;24;22;20;16;17;12;19;23;17;18;13;12;16;15;18;22;16;16;16;19;13;16;12;18;12;25;16;24;21;17;15;19;14;15;20;17;18;24;21;19;16;15;13;18;21;17;21;20;19;26;22;17;24;25;0;3013
3900;19;18;26;24;18;19;21;22;19;33;32;32;25;19;30;29;24;34;20;15;21;17;17;26;27;20;26;24;28;18;21;23;22;40;28;20;21;24;25;17;17;23;25;23;19;21;21;22;24;16;21;22;16;36;22;24;25;36;30;27;22;29;29;18;24;22;26;19;21;30;18;27;19;30;25;16;21;20;20;24;22;23;21;34;25;27;22;26;31;30;30;34;19;33;23;16;18;26;20;14;13;30;29;16;21;30;18;20;26;28;32;35;20;24;28;22;21;21;28;19;26;29;19;20;25;33;19;18;25;15;19;20;19;26;21;38;21;25;22;15;23;13;20;31;25;19;20;22;30;26;33;19;27;31;24;19;24;30;23;24;29;20;23;28;27;22;0;3936
4000;13;27;21;32;30;23;40;34;27;32;31;25;25;23;28;35;30;24;35;25;27;30;20;30;33;33;21;28;21;22;28;25;23;31;24;24;33;22;26;40;19;28;34;18;20;26;38;29;26;29;32;29;28;26;41;17;28;27;23;24;21;24;34;24;27;33;32;33;37;24;18;29;25;30;20;27;27;23;30;31;27;30;26;28;21;33;24;27;28;23;29;26;24;24;39;36;26;27;42;30;29;32;34;22;20;24;38;34;37;24;17;24;28;23;26;21;33;28;26;19;37;27;32;27;26;25;26;23;26;30;27;27;24;25;24;23;39;21;28;30;23;31;31;33;24;28;29;26;31;24;26;32;32;34;33;35;26;30;23;25;39;29;33;35;29;26;0;4615
4100;22;25;23;19;28;32;24;38;21;33;34;18;35;32;28;20;26;37;36;32;27;26;30;31;36;29;39;25;34;28;28;28;31;30;30;24;31;28;36;33;22;28;34;27;28;35;34;29;32;33;30;32;24;25;43;25;33;27;26;30;26;31;20;27;24;27;36;30;30;45;41;22;32;34;32;37;37;28;26;32;27;30;32;27;23;30;37;30;28;38;27;24;17;32;39;30;29;29;27;35;29;38;31;36;23;28;26;33;35;35;25;35;35;31;36;26;35;39;34;31;34;24;33;38;28;30;35;33;24;32;27;32;25;38;27;32;32;39;21;27;34;27;31;35;21;34;42;25;27;34;44;30;33;40;46;31;27;34;36;27;40;32;24;27;33;28;0;5066
4200;25;35;29;43;24;26;22;28;31;25;29;35;28;33;35;33;38;33;35;29;38;35;27;32;30;33;29;36;26;40;32;26;30;30;29;28;35;28;38;19;25;34;32;37;36;23;35;50;26;39;39;42;24;35;41;20;28;27;39;33;33;31;22;22;31;35;38;33;43;28;30;27;44;31;26;24;43;35;33;29;37;32;30;30;30;30;27;36;36;24;45;29;33;35;33;30;28;32;29;33;27;26;31;43;36;33;37;32;45;29;41;29;29;30;25;37;34;26;38;31;37;26;31;35;33;27;33;35;41;38;24;39;34;37;24;25;33;28;35;30;33;28;37;31;20;28;38;39;40;27;35;44;34;26;30;24;34;37;34;36;33;37;34;44;37;29;0;5352
4300;18;26;31;33;38;37;33;42;35;25;44;29;40;21;39;40;33;30;30;39;36;31;26;41;35;23;29;43;42;36;30;33;39;31;33;31;30;25;33;30;29;35;26;34;35;42;38;33;32;25;44;37;39;33;37;33;27;33;39;39;25;36;37;35;28;38;34;40;29;29;25;42;22;30;26;30;49;35;39;39;31;32;32;28;38;29;35;31;37;37;29;22;32;31;43;34;27;33;40;33;45;30;31;30;31;40;40;29;40;35;19;23;26;28;27;35;24;37;34;30;35;26;32;30;33;30;37;26;34;39;27;35;32;29;30;28;30;30;40;35;35;22;27;25;30;37;27;38;41;38;26;41;30;36;35;27;38;31;37;41;38;30;32;29;42;25;0;5462
4400;39;30;30;22;25;32;23;27;38;40;41;43;34;32;33;32;31;27;34;29;29;37;35;31;44;33;26;30;31;28;34;32;39;32;25;23;34;39;25;35;34;27;35;28;25;38;32;29;29;45;29;37;30;41;33;30;25;34;34;33;39;30;36;34;25;31;39;29;24;31;25;29;28;32;27;29;23;31;36;42;38;34;36;30;43;26;36;32;31;23;29;36;37;32;36;25;40;35;34;33;38;44;41;23;40;24;33;29;32;29;38;29;29;27;39;28;31;27;45;41;29;29;30;33;32;44;44;27;29;30;29;29;29;32;35;42;28;35;34;40;22;26;21;33;25;42;42;40;41;40;37;24;25;35;31;36;23;42;32;39;39;37;35;34;33;43;0;5422
4500;28;26;30;33;40;36;35;29;46;36;40;29;29;37;30;34;31;39;39;32;36;36;27;30;37;30;35;39;31;34;40;26;21;27;31;38;23;35;27;36;31;28;39;37;29;27;34;41;27;32;32;22;38;33;49;32;36;30;39;29;26;32;38;31;27;34;33;33;46;19;34;32;24;32;32;32;41;37;35;32;28;41;32;38;35;28;38;28;34;27;31;34;40;34;33;35;30;39;28;30;27;32;35;27;32;37;27;31;36;33;19;35;37;35;25;29;36;41;40;35;44;32;37;30;28;32;36;21;32;40;40;28;33;36;35;36;41;29;39;30;30;38;19;30;28;37;39;28;36;32;29;38;28;48;38;28;28;59;31;25;38;38;38;32;31;35;0;5505
4600;18;27;40;35;36;31;27;36;29;39;40;28;33;31;28;45;29;34;24;45;29;31;35;32;29;37;32;39;38;39;28;26;35;31;25;39;35;34;36;29;39;39;34;35;30;35;49;34;38;23;31;26;26;38;47;26;36;44;34;29;30;28;32;40;30;22;32;40;40;32;26;13;43;38;30;35;28;29;41;38;37;43;37;40;31;32;33;40;36;28;34;33;34;31;46;38;33;32;35;32;40;43;29;35;31;30;33;42;24;34;29;27;29;31;24;39;31;36;40;32;35;33;38;33;33;29;36;39;40;25;32;29;28;38;33;26;25;36;36;40;27;37;34;28;35;32;24;28;40;39;49;32;34;32;29;28;32;36;30;30;24;29;38;27;33;33;0;5522
4700;42;28;37;34;29;31;37;32;37;25;36;31;42;38;35;28;35;23;30;34;32;29;45;37;41;29;33;30;36;35;44;37;40;32;27;30;34;33;31;28;33;29;42;21;26;24;37;33;31;49;29;34;38;41;41;25;34;39;37;34;33;34;36;30;37;24;26;25;29;42;39;43;30;31;32;37;24;23;27;37;30;36;33;37;39;33;30;42;35;41;37;31;30;32;34;40;31;26;31;41;28;24;27;33;29;30;30;31;43;41;23;36;22;30;37;39;27;29;40;25;36;25;42;33;28;35;40;30;31;35;30;31;30;24;33;35;40;23;42;25;32;31;37;25;37;25;33;26;34;24;20;45;31;45;34;34;32;34;28;43;34;43;35;37;27;25;0;5475
4800;27;31;19;35;33;38;24;36;39;29;30;35;28;28;30;36;25;36;26;32;25;33;32;34;25;30;23;33;36;25;43;37;32;43;35;31;29;36;29;31;32;29;31;31;34;41;39;26;39;36;31;22;33;30;33;40;21;48;43;30;30;32;29;26;26;27;46;31;37;27;39;28;36;40;29;32;36;26;37;31;37;36;36;38;47;20;36;31;34;29;30;30;36;35;28;38;33;38;27;41;35;38;24;25;34;32;21;36;28;28;35;31;43;32;31;39;28;28;39;34;25;35;33;24;35;23;54;37;34;27;29;34;37;37;26;27;38;30;24;33;32;41;23;32;35;33;35;31;34;32;41;41;39;38;32;34;20;34;37;33;28;36;27;27;33;34;0;5398
4900;26;31;33;35;22;36;26;31;39;35;25;28;27;26;38;30;36;36;34;50;34;39;21;33;21;22;28;37;25;36;22;31;36;40;41;34;34;34;33;50;29;39;34;32;35;45;27;34;36;42;47;33;39;24;49;35;34;38;35;28;39;43;43;33;28;27;37;38;33;30;31;36;36;34;44;25;31;26;37;33;38;22;29;31;37;36;33;20;35;32;44;34;36;31;34;33;37;31;32;25;43;25;34;30;34;24;28;28;36;41;28;31;27;28;30;29;28;35;37;44;33;39;25;36;32;33;34;25;30;32;27;38;34;24;33;34;28;40;33;31;26;30;43;35;42;34;32;39;26;40;26;30;40;48;34;29;34;28;28;35;20;33;28;35;33;32;0;5485
